pattern,useWhen,avoidWhen,requiredEvidence,reviewQuestions
Strategy,同一职责存在多个可替换算法或规则,只有一个简单分支且无独立变化,至少两个真实策略或明确替换需求,共同契约是否稳定；调用方是否依赖具体策略
Factory,创建逻辑复杂或需隐藏具体实现,仅包装一个简单构造函数,创建规则存在变化或测试替换需求,工厂是否减少调用方耦合
Adapter,隔离第三方或遗留接口,内部接口本身已稳定一致,存在协议或模型转换边界,适配器是否混入业务规则
Decorator,需要可组合横切行为,行为顺序和重复应用无法定义,有独立可选行为和顺序测试,顺序、异常和重复应用是否明确
State,行为随有限状态显著变化,状态很少且条件清晰,状态转换图或分支复杂度证据,非法转换是否被阻止
Command,操作需要排队、审计、调度或异步执行,普通同步方法即可清晰表达,操作需要作为值处理,命令是否隐藏基础设施和生命周期
Observer/Event,一个事实通知多个独立订阅者,强顺序同步流程或失败必须原子回滚,存在多个松耦合消费者,顺序、幂等、事务和失败隔离是否明确
Builder,构造参数多且有可选字段或不变量,简单数据对象,构造调用可读性或阶段验证问题,是否保证最终对象有效
Repository,隔离领域与持久化,纯 CRUD 项目且抽象只转发 ORM,领域需要稳定持久化边界,是否泄露 ORM 和万能查询
Specification,业务谓词需组合复用,单次简单条件,多个规则需要组合或转译,组合语义和性能是否明确
Result,预期失败需显式返回,程序缺陷被伪装为业务结果,调用方必须分支处理预期失败,是否保留未知缺陷的异常语义
Singleton,极少：全进程唯一实例且有严格生命周期证明,多数"全局配置"需求可用显式依赖注入替代,有并发安全和测试隔离的证明,生命周期、序列化和线程安全是否明确
Service Locator,几乎不用,存在隐藏依赖和可测试性下降,N/A（反模式：不应提供使用证据，改为证明替代方案可行）,是否可替换为构造器注入
Abstract Factory,存在多族产品且各自有独立变化轴,只有单一产品族或仅一族,产品族扩展和类型爆炸已被评估,平行类型数量是否可控
Facade,需为复杂子系统提供稳定简化入口,只是多包一层跳转无边界价值,子系统确实复杂且消费者众多,是否只暴露必要 API 而非全量转发
Proxy,需延迟加载、访问控制或远程代理,仅增加一层无意义转发,有明确的横切控制需求,生命周期和失败传播是否明确
通用 BaseService/BaseRepository,几乎不用,常把无关职责强行统一,无,职责是否真的共享同一变化原因
全局 Event Bus,几乎不用,隐藏控制流和失败,无,是否可用显式订阅/本地事件替代
反射驱动注册,几乎不用,降低可发现性和静态安全,无,是否可用编译期注册或显式装配
大型 DI 容器自动扫描,谨慎使用,启动失败难诊断且可见性失控,扫描范围与启动失败策略已控制,可见性边界与启动错误是否明确
