operation,method,successStatus,conditionalStatus,commonClientErrors,notes
读取单资源,GET,200,304,400|401|403|404|429,支持条件 GET 时使用 ETag
读取集合,GET,200,,400|401|403|422|429,必须分页并稳定排序
创建资源,POST,201,202,400|401|403|409|422|429,201 通常返回 Location；异步返回 202
完整替换,PUT,200|204,201,400|401|403|404|409|412|422,已知 URI 创建时可返回 201
局部更新,PATCH,200|204,,400|401|403|404|409|412|422,声明补丁媒体类型
删除资源,DELETE,204,,400|401|403|404|409|412,重复删除语义需明确
异步状态查询,GET,200,,401|403|404|410|429,状态资源过期可返回 410
取消异步操作,POST|DELETE,200|202|204,,400|401|403|404|409,取消本身应幂等
批量读取,POST|GET,200|202,,400|401|403|413|422|429,大批量优先异步
批量写入,POST,200|202|207,,400|401|403|409|413|422|429,207 仅在明确采用其语义时；优先自定义逐项结果
